,,,,,,,,,,,,,,,,,
,,"Programa Anual de Adquisiciones, Arrendamientos y Servicios (PAAAS) 2026",,,,,,,,,,,,,,,
,,"Aeropuerto Internacional ""Felipe Ángeles"", S.A. de C.V.",,,,,,,,,,,,,,,
,,1875315554,,,,,,,,,,,,,,,
,, E n   m i l e s   d e   p e s o s ,,,,,,,,,,,,,,,
CUCOP, Concepto,  Valor total estimado de compra ,Valor Estimado de compras Mipymes,Cantidad,Unidad de Medida,Entidad Federativa,T1,T2, T3, T4,Fecha estimada para realizar el procedimiento,Plurianualidad,Ejercicios fiscales,Monto a ejercer en el presente año,Comentario 1,Comentario 2,Comentario 3
33900012,"Servicio integral administrativo, financiero, contable presupuestal y jurídico-normativo, para eficientar la gestión de los servicios aeroportuarios y complementarios y de servicios comerciales en su interacción con recursos financieros."," $10,000,000.00 ",0,1,369,17,2500000,2500000,2500000,2500000,Ene. 2026,1,2,0,0,0,0
33900016,Servicio de instalación de software especializado.," $4,000,000.00 ",0,1,369,17,1000000,1000000,1000000,1000000,Dic. 2025,0,0,0,0,0,0
34500003,Servicio de aseguramiento de bienes patrimoniales.," $191,400,000.00 ",0,1,369,17,47850000,47850000,47850000,47850000,Dic. 2025,0,0,0,0,0,0
34500010,Servicio de aseguramiento vehicular.," $696,000.00 ",0,1,369,17,174000,174000,174000,174000,Dic. 2025,0,0,0,0,0,0
35100003,"Servicio de mantenimientos preventivos, correctivos y conservación a pavimentos del área de movimiento."," $25,033,742.00 ",0,1,369,17,6258435.5,6258435.5,6258435.5,6258435.5,Dic. 2025,0,0,0,0,0,0
35100003,Servicio de mantenimientos a instalaciones arquitectónicas.," $41,468,000.00 ",0,1,369,17,10367000,10367000,10367000,10367000,Dic. 2025,0,0,0,0,0,0
35100003,Servicio de descontaminación de caucho y coeficiente de fricción de pistas.," $9,848,650.00 ",0,1,369,17,2462162.5,2462162.5,2462162.5,2462162.5,Dic. 2025,0,0,0,0,0,0
35100003,Servicio de mantenimiento y conservación de franjas de seguridad.," $31,291,567.00 ",0,1,369,17,7822891.75,7822891.75,7822891.75,7822891.75,Ene. 2026,0,0,0,0,0,0
35100003,"Servicio de mantenimiento a caminos perimetrales, brechas y andadores del polígono Aeroportuario."," $13,334,503.00 ",0,1,369,17,3333625.75,3333625.75,3333625.75,3333625.75,Ene. 2026,0,0,0,0,0,0
35100003,"Servicio de mantenimiento de vialidades exteriores, bardas y cercas perimetrales."," $15,959,851.00 ",0,1,369,17,3989962.75,3989962.75,3989962.75,3989962.75,Ene. 2026,0,0,0,0,0,0
35500005,Servicio de mantenimiento para autobuses de aeropuerto.," $580,000.00 ",0,1,369,17,145000,145000,145000,145000,Ene. 2026,0,0,0,0,0,0
35500005,"Servicio de mantenimiento preventivo y correctivo para los vehículos que están de cargo en el Aeropuerto Internacional ""Felipe Ángeles"", S.A. de C.V."," $11,000,000.00 ",0,1,369,17,2750000,2750000,2750000,2750000,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento y conservación a equipos electrógenos (plantas de emergencia).," $18,578,366.00 ",0,1,369,17,4644591.5,4644591.5,4644591.5,4644591.5,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento y conservación al sistema de iluminación exterior e interior de vialidades.," $14,707,458.00 ",0,1,369,17,3676864.5,3676864.5,3676864.5,3676864.5,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento y conservación para la utilización de la energía eléctrica en baja .," $17,529,625.00 ",0,1,369,17,4382406.25,4382406.25,4382406.25,4382406.25,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento y conservación al sistema eléctrico de alta tensión en el Aeropuerto Internacional Felipe Ángeles.," $18,887,222.00 ",0,1,369,17,4721805.5,4721805.5,4721805.5,4721805.5,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento y conservación a los sistemas eléctricos de media tensión para el suministro de energía eléctrica del AIFA.," $20,337,937.00 ",0,1,369,17,5084484.25,5084484.25,5084484.25,5084484.25,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento mayor a turbogenerador (Overhaul) de la central de cogeneración del Aeropuerto Internacional Felipe Ángeles.," $25,000,000.00 ",0,1,369,17,6250000,6250000,6250000,6250000,Ene. 2026,0,0,0,0,0,0
35700001,Servicio de mantenimiento y conservación a equipos de respaldo de energía UPS dinámicos.," $10,223,072.00 ",0,1,369,17,2555768,2555768,2555768,2555768,Ene. 2026,0,0,0,0,0,0
35700001,Servicio de mantenimiento y conservación a equipos de respaldo de energía UPS estáticos.," $5,581,009.00 ",0,1,369,17,1395252.25,1395252.25,1395252.25,1395252.25,Ene. 2026,0,0,0,0,0,0
35700001,Mantenimiento y conservación de 5 (cinco) vehículos aéreos STRIKER 6 x 6.," $2,390,568.00 ",0,1,369,17,597642,597642,597642,597642,Ene. 2026,0,0,0,0,0,0
35700001,Mantenimiento y conservación a instalaciones del simulador del S.E.I.," $174,000.00 ",0,1,369,17,43500,43500,43500,43500,Ene. 2026,0,0,0,0,0,0
35700001,Mantenimiento y conservación a 4 (cuatro) vehículos de ataque rápido y 1 (un) vehículo de rescate.," $319,000.00 ",0,1,369,17,79750,79750,79750,79750,Ene. 2026,0,0,0,0,0,0
35700001,"Mantenimiento y conservación de vehículos especializados, 5 (cinco) barredoras de succión."," $4,988,000.00 ",0,1,369,17,1247000,1247000,1247000,1247000,Ene. 2026,0,0,0,0,0,0
35700001,"Servicio de mantenimiento a puertas de inspección vehicular, cortinas y plumas automáticas."," $2,500,000.00 ",0,1,369,17,625000,625000,625000,625000,Ene. 2026,0,0,0,0,0,0
35700001,Servicio de mantenimiento a puertas automáticas.," $5,000,000.00 ",0,1,369,17,1250000,1250000,1250000,1250000,Ene. 2026,0,0,0,0,0,0
35700001,Servicio de mantenimiento preventivo y correctivo para equipos de inspección.," $40,000,000.00 ",0,1,369,17,10000000,10000000,10000000,10000000,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento y soporte técnico al BHS.," $47,045,331.00 ",0,1,369,17,11761332.75,11761332.75,11761332.75,11761332.75,Dic. 2025,0,0,0,0,0,0
35700001,"Servicio de mantenimiento y soporte técnico a elevadores, escaleras y aceras eléctricas."," $10,500,000.00 ",0,1,369,17,2625000,2625000,2625000,2625000,Ene. 2026,0,0,0,0,0,0
35700001,Servicio de mantenimiento y soporte técnico al sistema de iluminación de ayudas visuales.," $41,051,472.00 ",0,1,369,17,10262868,10262868,10262868,10262868,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento al sistema de aire acondicionado (HVAC).," $24,000,000.00 ",0,1,369,17,6000000,6000000,6000000,6000000,Ene. 2026,0,0,0,0,0,0
35700001,"Servicio de mantenimiento y conservación a plantas tratadoras de aguas residuales, red general de drenaje, incluye la operación de cárcamos del AIFA."," $42,970,750.00 ",0,1,369,17,10742687.5,10742687.5,10742687.5,10742687.5,Dic. 2025,0,0,0,0,0,0
35700001,"Servicio de mantenimiento preventivo y correctivo a plantas potabilizadoras primaria, secundaria y red de agua potable: incluye la operación de los pozos."," $27,898,580.00 ",0,1,369,17,6974645,6974645,6974645,6974645,Dic. 2025,0,0,0,0,0,0
35700001,Servicio de mantenimiento al sistema de detección y alarma contra incendios (FAS).," $8,500,000.00 ",0,1,369,17,2125000,2125000,2125000,2125000,Ene. 2026,0,0,0,0,0,0
35700001,Servicio de mantenimiento al sistema de protección contra incendios (PCI).," $16,000,000.00 ",0,1,369,17,4000000,4000000,4000000,4000000,Ene. 2026,0,0,0,0,0,0
35700001,Servicio de mantenimiento al sistema de iluminación RGBW de la torre de control.," $1,800,000.00 ",0,1,369,17,450000,450000,450000,450000,Ene. 2026,0,0,0,0,0,0
